ID;incident_dart;x;y;z
1;0;1.250000;0.000000;0.000000
2;2;1.239306;0.000000;-0.163158
3;4;1.206099;0.125000;-0.158786
4;6;1.216506;0.125000;0.000000
5;12;1.115376;0.216506;-0.146842
6;14;1.125000;0.216506;0.000000
7;20;0.991445;0.250000;-0.130526
8;22;1.000000;0.250000;0.000000
9;28;0.867514;0.216506;-0.114210
10;30;0.875000;0.216506;0.000000
11;36;0.776791;0.125000;-0.102266
12;38;0.783494;0.125000;0.000000
13;44;0.743584;0.000000;-0.097895
14;46;0.750000;0.000000;0.000000
15;52;0.776791;-0.125000;-0.102266
16;54;0.783494;-0.125000;-0.000000
17;60;0.867514;-0.216506;-0.114210
18;62;0.875000;-0.216506;-0.000000
19;68;0.991445;-0.250000;-0.130526
20;70;1.000000;-0.250000;-0.000000
21;76;1.115376;-0.216506;-0.146842
22;78;1.125000;-0.216506;-0.000000
23;84;1.206099;-0.125000;-0.158786
24;86;1.216506;-0.125000;-0.000000
25;98;1.207407;0.000000;-0.323524
26;100;1.175055;0.125000;-0.314855
27;108;1.086667;0.216506;-0.291171
28;116;0.965926;0.250000;-0.258819
29;124;0.845185;0.216506;-0.226467
30;132;0.756797;0.125000;-0.202783
31;140;0.724444;0.000000;-0.194114
32;148;0.756797;-0.125000;-0.202783
33;156;0.845185;-0.216506;-0.226467
34;164;0.965926;-0.250000;-0.258819
35;172;1.086667;-0.216506;-0.291171
36;180;1.175055;-0.125000;-0.314855
37;194;1.154849;0.000000;-0.478354
38;196;1.123905;0.125000;-0.465537
39;204;1.039364;0.216506;-0.430519
40;212;0.923880;0.250000;-0.382683
41;220;0.808395;0.216506;-0.334848
42;228;0.723854;0.125000;-0.299830
43;236;0.692910;0.000000;-0.287013
44;244;0.723854;-0.125000;-0.299830
45;252;0.808395;-0.216506;-0.334848
46;260;0.923880;-0.250000;-0.382683
47;268;1.039364;-0.216506;-0.430519
48;276;1.123905;-0.125000;-0.465537
49;290;1.082532;0.000000;-0.625000
50;292;1.053525;0.125000;-0.608253
51;300;0.974279;0.216506;-0.562500
52;308;0.866025;0.250000;-0.500000
53;316;0.757772;0.216506;-0.437500
54;324;0.678525;0.125000;-0.391747
55;332;0.649519;0.000000;-0.375000
56;340;0.678525;-0.125000;-0.391747
57;348;0.757772;-0.216506;-0.437500
58;356;0.866025;-0.250000;-0.500000
59;364;0.974279;-0.216506;-0.562500
60;372;1.053525;-0.125000;-0.608253
61;386;0.991692;0.000000;-0.760952
62;388;0.965119;0.125000;-0.740562
63;396;0.892523;0.216506;-0.684856
64;404;0.793353;0.250000;-0.608761
65;412;0.694184;0.216506;-0.532666
66;420;0.621587;0.125000;-0.476961
67;428;0.595015;0.000000;-0.456571
68;436;0.621587;-0.125000;-0.476961
69;444;0.694184;-0.216506;-0.532666
70;452;0.793353;-0.250000;-0.608761
71;460;0.892523;-0.216506;-0.684856
72;468;0.965119;-0.125000;-0.740562
